id_partido,Date,Equipo_local,Equipo_visitante,FTR,Prediccion,Prob_H,Prob_D,Prob_A
9562,2025-09-27,Getafe,Levante,D,D,0.3082339542429916,0.3959967766312362,0.2957692691257721
9563,2025-09-27,Ath Madrid,Real Madrid,H,A,0.2704749906383691,0.3048748797518399,0.424650129609791
9564,2025-09-27,Mallorca,Alaves,H,D,0.3137410584865297,0.38450867439401243,0.30175026711945774
9565,2025-09-27,Villarreal,Ath Bilbao,H,D,0.32796740067826646,0.3565997030392405,0.3154328962824931
9566,2025-09-28,Vallecano,Sevilla,A,D,0.3449739258565996,0.3501449829281728,0.30488109121522755
9567,2025-09-28,Elche,Celta,H,A,0.2522591774354091,0.3716629952145631,0.3760778273500278
9568,2025-09-28,Barcelona,Sociedad,H,H,0.6140392732711306,0.22694128168714234,0.159019445041727
9569,2025-09-28,Betis,Osasuna,H,H,0.3810405380800428,0.3549953699196022,0.26396409200035503
9570,2025-09-30,Valencia,Oviedo,A,H,0.3790692839371627,0.3475116123936822,0.27341910366915506
9571,2025-10-03,Osasuna,Getafe,H,D,0.317409544146003,0.39167880810891437,0.29091164774508277
9572,2025-10-04,Oviedo,Levante,A,D,0.2925001501883885,0.3791117202216235,0.328388129589988
9573,2025-10-04,Girona,Valencia,H,D,0.3172799448650516,0.3618303933719067,0.32088966176304157
9574,2025-10-04,Ath Bilbao,Mallorca,H,H,0.4390383881777667,0.36705045277000226,0.19391115905223114
9575,2025-10-04,Real Madrid,Villarreal,H,H,0.5723915785776316,0.21403250263356308,0.21357591878880527
9576,2025-10-05,Alaves,Elche,H,D,0.3137134076714297,0.37946133796599407,0.3068252543625763
9577,2025-10-05,Sevilla,Barcelona,H,A,0.20059511425597903,0.22938654196698133,0.5700183437770396
9578,2025-10-05,Espanol,Betis,A,A,0.2667649195691444,0.35370174746559163,0.37953333296526404
9579,2025-10-05,Sociedad,Vallecano,A,D,0.3248444601765131,0.36272622915757863,0.31242931066590823
9580,2025-10-05,Celta,Ath Madrid,D,A,0.18004795123585568,0.3310879301277359,0.4888641186364085
9581,2025-10-17,Oviedo,Espanol,A,D,0.2497360757008928,0.3779476354910931,0.3723162888080141
9582,2025-10-18,Sevilla,Mallorca,A,H,0.3698464874635552,0.34876709620906443,0.2813864163273803
9583,2025-10-18,Barcelona,Girona,H,H,0.5802355121610541,0.24681757567483556,0.17294691216411026
9584,2025-10-18,Villarreal,Betis,D,H,0.35814934135314835,0.3253253973865187,0.3165252612603329
9585,2025-10-18,Ath Madrid,Osasuna,H,H,0.5490955904323102,0.26384160534635914,0.1870628042213307
